CLIP,Pretrained_Finetined,Arch,aro,crepe,eqben,imagecode,sugarcrepe,svo_probes,valse,vl_checklist,whatsup,winoground,spec,Comp,ZS,I2T Ret,T2I Ret
fsc-clip,openai_coco,ViT-B-32,85.0763621143807,42.17672697095654,29.814866809347773,26.3249348392702,85.11872784367254,90.8592112363756,75.30648825539986,76.68228889501185,40.62914298935543,9.5,34.18981481481482,54.15259679714411,55.68486780238292,66.25926734316165,58.32423330725148
fsc-clip-lora,openai_coco,ViT-B-32,85.09349747361388,42.802464606215416,29.603518159535163,26.238053866203302,81.97615107810186,90.39428918730073,75.01137093717695,77.19572276277373,41.62048770060543,6.5,33.18703703703704,53.60205389168759,55.50065320914047,65.23339460080413,57.1848499321313
fsc-clip,openai_cc3m,ViT-B-32,79.0748571923161,44.62962897209875,28.665528166159124,24.326672458731537,84.65896779180531,88.1306610426484,75.09179966421077,77.4597191706754,42.31933588711064,6.0,34.27037037037037,53.14795824692058,53.26733730499503,55.627803944093436,54.850311991356364
fsc-clip-lora,openai_cc3m,ViT-B-32,84.13333422201784,49.39629206635917,27.89545838455546,24.283231972198088,82.12090173977298,89.01379783808257,74.35674746128852,80.01279022193614,42.065699834668955,6.0,32.18240740740741,53.76915101348065,53.58051707132329,56.32176654540813,53.993562936303555
fsc-clip,openai_laioncoco,ViT-B-32,82.83261930258438,46.80608306435952,29.13558861179347,24.71763683753258,82.61302422534871,90.07136376852604,73.64588284952535,75.68551294902525,42.42137062800695,6.75,33.350462962962965,53.45723138178775,55.32561201419619,58.18152785755313,55.5010582045821
fsc-clip-lora,openai_laioncoco,ViT-B-32,85.48022444658966,54.38504596668366,29.06927477456798,24.89139878366638,80.566483200427,89.74461702929557,72.59460909811978,78.42367847913667,42.808135490359824,5.75,32.4837962962963,54.1997512331948,55.90669037915857,57.26886846639862,54.32443395607485
fsc-clip,openai_laioncoco,ViT-B-16,83.39508296561702,46.83507112741528,30.159723883879828,26.107732406602953,84.9023926830482,91.00197337458438,74.44238813565825,75.74488836934606,43.47504193582797,7.5,33.43333333333334,54.272511655937585,56.99669960461301,60.08233709872999,59.41569591220249
fsc-clip-lora,openai_laioncoco,ViT-B-16,85.61782807173535,50.74400330791578,30.26058868515012,25.847089487402258,82.19602628117666,90.68995123751864,74.4796897590505,78.70654232239349,42.98034076192028,6.5,32.71527777777778,54.61248524473099,57.224292031830664,59.879880017869674,58.71189425920869
fsc-clip,openai_laioncoco,ViT-L-14,82.90416990140082,49.330593103292664,33.083121641109656,27.671589921807126,86.1433109718631,92.55389232540823,75.51834228709605,76.8291143256257,41.95050467339979,7.249999999999999,34.49027777777778,55.24771972079827,63.962978659985644,64.93009892143722,64.94396629196939
fsc-clip-lora,openai_laioncoco,ViT-L-14,86.10878241398999,58.32028704007612,32.088189823198334,27.801911381407475,83.62201276524388,92.27466708681852,76.15743884776157,81.44040950255054,40.58822691399194,6.0,33.88564814814815,56.20796126574422,62.17823160256302,64.21699023549685,63.698370265270626
fsc-clip,dcxl_laioncoco,ViT-B-32,80.63398084905026,44.999687653005104,31.51672177013962,24.326672458731537,83.92736312267915,89.04707040151983,72.09795107130167,74.19330608848547,42.02311957403724,6.0,33.476388888888884,52.93111471616715,61.123693666033994,56.83757227646945,53.79123210834373
fsc-clip-lora,dcxl_laioncoco,ViT-B-32,85.05816937618296,53.857425055636035,30.687965825761445,24.804517810599478,81.61534849153672,88.21690388839234,73.21408909772425,76.45016264487225,40.45818742558955,6.25,33.46157407407408,54.00675851730628,60.691325615194685,56.829093113791565,53.06945929777939
